Name,HexaDecimal Code,Comment lookup
nonmarkingreturn,0x000D,
space,0x0020,
exclam,0x0021,
quotedbl,0x0022,
numbersign,0x0023,
dollar,0x0024,
percent,0x0025,
ampersand,0x0026,
quotesingle,0x0027,
parenleft,0x0028,
parenright,0x0029,
asterisk,0x002A,
plus,0x002B,
comma,0x002C,
hyphen,0x002D,
period,0x002E,
slash,0x002F,
zero,0x0030,
one,0x0031,
two,0x0032,
three,0x0033,
four,0x0034,
five,0x0035,
six,0x0036,
seven,0x0037,
eight,0x0038,
nine,0x0039,
colon,0x003A,
semicolon,0x003B,
less,0x003C,
equal,0x003D,
greater,0x003E,
question,0x003F,
at,0x0040,
bracketleft,0x005B,
backslash,0x005C,
bracketright,0x005D,
asciicircum,0x005E,
underscore,0x005F,
grave,0x0060,
braceleft,0x007B,
bar,0x007C,
braceright,0x007D,
asciitilde,0x007E,
udatta-deva,0x0951,
anudatta-deva,0x0952,
danda-deva,0x0964,
doubledanda-deva,0x0965,
anji-beng,0x0980,
candraBindu-beng,0x0981,
anusvara-beng,0x0982,
visarga-beng,0x0983,
a-beng,0x0985,
aa-beng,0x0986,
i-beng,0x0987,
ii-beng,0x0988,
u-beng,0x0989,
uu-beng,0x098a,
rVocalic-beng,0x098b,
lVocalic-beng,0x098c,
e-beng,0x098f,
ai-beng,0x0990,
o-beng,0x0993,
au-beng,0x0994,
ka-beng,0x0995,
kha-beng,0x0996,
ga-beng,0x0997,
gha-beng,0x0998,
nga-beng,0x0999,
ca-beng,0x099a,
cha-beng,0x099b,
ja-beng,0x099c,
jha-beng,0x099d,
nya-beng,0x099e,
tta-beng,0x099f,
ttha-beng,0x09a0,
dda-beng,0x09a1,
ddha-beng,0x09a2,
nna-beng,0x09a3,
ta-beng,0x09a4,
tha-beng,0x09a5,
da-beng,0x09a6,
dha-beng,0x09a7,
na-beng,0x09a8,
pa-beng,0x09aa,
pha-beng,0x09ab,
ba-beng,0x09ac,
bha-beng,0x09ad,
ma-beng,0x09ae,
ya-beng,0x09af,
ra-beng,0x09b0,
la-beng,0x09b2,
sha-beng,0x09b6,
ssa-beng,0x09b7,
sa-beng,0x09b8,
ha-beng,0x09b9,
nukta-beng,0x09bc,
avagraha-beng,0x09bd,
aaMatra-beng,0x09be,
iMatra-beng,0x09bf,
iiMatra-beng,0x09c0,
uMatra-beng,0x09c1,
uuMatra-beng,0x09c2,
riMatra-beng,0x09c3,
rriMatra-beng,0x09c4,
eMatra-beng,0x09c7,
aiMatra-beng,0x09c8,
oMatra-beng,0x09cb,
auMatra-beng,0x09cc,
halant-beng,0x09cd,
taKhanda-beng,0x09ce,
rra-beng,0x09dc,uni09A109BC.nukt
rha-beng,0x09dd,uni09A209BC.nukt
yya-beng,0x09df,uni09AF09BC.nukt
auLength-beng,0x09d7,
rrVocalic-beng,0x09e0,
llVocalic-beng,0x09e1,
lVocalicMatra-beng,0x09e2,
llVocalivMatra-beng,0x09e3,
zero-beng,0x09e6,
one-beng,0x09e7,
two-beng,0x09e8,
three-beng,0x09e9,
four-beng,0x09ea,
five-beng,0x09eb,
six-beng,0x09ec,
seven-beng,0x09ed,
eight-beng,0x09ee,
nine-beng,0x09ef,
ramiddlediagonal,0x09f0,
ralowerdiagonal-beng,0x09f1,
rupeeMark-beng,0x09f2,
rupeeSign-beng,0x09f3,
oneNumr-beng,0x09f4,
twoNumr-beng,0x09f5,
threeNumr-beng,0x09f6,
fourNumr-beng,0x09f7,
oneLessNumr-beng,0x09f8,
sixteenDnom-beng,0x09f9,
isshar-beng,0x09fa,
ganda-beng,0x09fb,
anusvaraVedic-beng,0x09fc,
abbreviation-beng,0x09fd,
sandhi-beng,0x09fe,
zerowidthspace,0x200B,
zerowidthnonjoiner,0x200C,
zerowidthjoiner,0x200D,
quotedblleft,0x201C,
quotedblright,0x201D,
eurocurrency,0x20AC,
rupeeIndian,0x20B9,
dottedCircle,0x25CC,
# Init,, 
eMatra-beng.init,,init
aiMatra-beng.init,,init
# Akhands,,
ja_halant_nya-beng,,akhn
ka_halant_ssa-beng,,akhn
# Reph,,
reph-beng,,uni09B009CD.rphf 
# Post Base Forms,,
halant_ya-beng,,pstf
# Below base Forms,,
halant_ra-beng,,uni09CD09B0.blwf
# Vatu Variants ,,
ka_halant_ra-beng,,vatu
kha_halant_ra-beng,,vatu
ga_halant_ra-beng,,vatu
gha_halant_ra-beng,,vatu
nga_halant_ra-beng,,vatu
ca_halant_ra-beng,,vatu
cha_halant_ra-beng,,vatu
ja_halant_ra-beng,,vatu
jha_halant_ra-beng,,vatu
nya_halant_ra-beng,,vatu
tta_halant_ra-beng,,vatu
ttha_halant_ra-beng,,vatu
dda_halant_ra-beng,,vatu
ddha_halant_ra-beng,,vatu
nna_halant_ra-beng,,vatu
ta_halant_ra-beng,,vatu
tha_halant_ra-beng,,vatu
da_halant_ra-beng,,vatu
dha_halant_ra-beng,,vatu
na_halant_ra-beng,,vatu
pa_halant_ra-beng,,vatu
pha_halant_ra-beng,,vatu
ba_halant_ra-beng,,vatu
bha_halant_ra-beng,,vatu
ma_halant_ra-beng,,vatu
ya_halant_ra-beng,,vatu
ra_halant_ra-beng,,vatu
sha_halant_ra-beng,,vatu
ssa_halant_ra-beng,,vatu
sa_halant_ra-beng,,vatu
ha_halant_ra-beng,,vatu
ja_halant_nya_halant_ra-beng,,vatu
